transaction_id,amount,hour,duration_sec,num_items,customer_age,label
362,211.31,11,63.0,7,40,normal
74,212.59,10,65.2,2,44,normal
375,236.13,20,69.2,5,43,normal
156,121.43,13,46.6,2,43,normal
105,143.55,8,47.1,3,56,normal
395,197.18,10,82.1,6,47,normal
378,157.33,16,35.0,5,57,normal
125,173.47,12,58.9,1,40,normal
69,164.47,19,39.8,1,51,normal
451,1708.73,4,4.6,20,60,anomaly
10,171.7,12,51.8,7,33,normal
195,156.93,14,50.4,7,49,normal
407,107.3,10,71.6,8,63,normal
85,117.66,13,85.0,5,69,normal
372,169.92,16,66.5,1,58,normal
389,188.02,13,76.2,4,41,normal
496,5.59,2,234.0,0,37,anomaly
31,125.93,16,41.7,5,34,normal
317,177.28,15,61.9,2,26,normal
409,154.81,16,77.2,7,61,normal
491,8.16,0,302.2,0,21,anomaly
492,6.03,2,384.8,0,23,anomaly
281,154.54,10,66.6,6,47,normal
357,149.26,15,79.8,6,65,normal
77,153.48,14,62.9,5,48,normal
462,1191.8,3,4.7,39,59,anomaly
498,6.01,4,298.1,0,38,anomaly
212,195.42,10,54.2,2,52,normal
102,133.17,9,99.5,4,63,normal
335,189.0,18,56.7,5,40,normal
476,7.17,2,368.7,0,24,anomaly
337,116.98,11,63.1,3,60,normal
441,165.36,12,71.0,3,21,normal
174,163.65,8,52.2,6,48,normal
3,175.91,18,60.2,4,21,normal
334,122.91,18,73.2,3,44,normal
410,170.58,17,33.9,2,54,normal
71,164.46,9,62.6,6,41,normal
210,304.11,13,86.9,2,30,normal
64,102.15,14,62.3,5,59,normal
385,119.63,12,63.4,7,39,normal
94,136.89,11,48.7,9,56,normal
486,4.66,2,257.8,1,68,anomaly
186,178.56,20,56.8,5,50,normal
34,107.69,16,54.4,2,37,normal
78,138.04,12,45.3,8,32,normal
1,169.87,10,98.6,4,44,normal
12,131.37,9,61.6,6,60,normal
416,120.06,18,65.2,7,62,normal
23,152.7,17,43.3,8,51,normal
73,148.57,13,60.3,8,62,normal
183,107.16,21,83.3,7,49,normal
132,152.74,21,76.2,9,67,normal
411,178.46,18,54.6,8,25,normal
194,100.17,12,96.8,9,31,normal
56,187.25,15,85.4,1,60,normal
149,170.88,18,61.4,4,38,normal
19,113.68,8,54.9,2,46,normal
205,94.89,16,51.7,3,52,normal
79,153.67,19,66.1,2,37,normal
495,4.02,3,262.9,1,55,anomaly
263,20.35,13,69.1,1,43,normal
324,233.7,11,23.6,3,40,normal
484,4.08,2,219.9,1,66,anomaly
80,70.5,17,34.5,6,21,normal
40,157.87,8,69.2,9,69,normal
452,1236.56,2,4.3,44,58,anomaly
47,131.57,20,52.2,4,65,normal
239,123.53,19,76.0,1,36,normal
392,169.68,8,73.3,3,40,normal
353,184.31,21,73.4,5,68,normal
342,159.75,13,55.8,7,26,normal
278,125.99,10,88.2,2,61,normal
291,141.68,14,87.7,2,44,normal
318,137.59,11,49.8,6,40,normal
305,149.16,13,68.5,9,52,normal
269,132.4,8,62.0,7,50,normal
70,124.2,20,71.1,3,30,normal
456,1313.54,3,1.8,22,38,anomaly
466,1272.71,0,5.5,48,27,anomaly
155,161.72,15,78.8,3,29,normal
83,209.12,8,63.8,5,34,normal
478,3.87,0,347.6,0,44,anomaly
173,146.92,11,83.7,3,23,normal
322,173.81,12,31.7,3,33,normal
91,153.88,20,67.8,7,32,normal
181,175.03,13,59.5,4,43,normal
415,163.29,9,53.0,1,69,normal
313,183.02,13,49.9,4,39,normal
279,152.79,13,38.3,3,49,normal
382,126.02,8,83.6,1,51,normal
473,1257.2,4,3.7,30,45,anomaly
363,145.65,11,50.2,2,24,normal
325,109.76,19,36.2,2,37,normal
432,68.43,15,66.5,1,34,normal
348,93.7,18,73.9,4,47,normal
87,186.62,21,32.4,7,34,normal
76,182.88,16,48.3,3,47,normal
439,81.86,19,70.9,3,25,normal
16,127.51,13,76.4,1,40,normal
250,166.2,11,79.2,6,68,normal
434,178.7,8,63.6,4,65,normal
20,93.51,12,54.4,2,59,normal
323,117.27,20,53.2,5,56,normal
333,153.03,17,82.6,9,38,normal
57,116.43,9,63.2,8,66,normal
302,127.59,8,76.8,4,40,normal
230,177.18,15,75.7,3,29,normal
332,114.11,11,42.6,3,68,normal
133,107.51,21,72.5,9,32,normal
138,137.12,14,63.1,1,45,normal
424,188.86,10,53.6,8,47,normal
336,144.12,12,60.4,9,31,normal
26,154.44,8,79.1,9,51,normal
465,1027.62,2,3.1,32,31,anomaly
282,176.49,14,52.5,3,26,normal
248,123.87,17,54.1,1,56,normal
238,157.46,21,67.6,8,25,normal
118,103.25,20,51.6,8,54,normal
43,145.37,8,64.9,9,39,normal
221,242.59,12,59.5,4,25,normal
177,150.52,19,39.8,1,43,normal
321,153.88,15,53.3,3,63,normal
154,159.29,21,52.8,1,39,normal
232,158.66,19,87.7,3,22,normal
228,106.89,10,52.0,8,35,normal
418,154.63,18,67.2,3,24,normal
204,192.15,12,67.1,2,68,normal
127,110.38,13,62.7,7,58,normal
330,175.13,10,59.3,9,56,normal
32,224.09,17,70.7,5,36,normal
114,248.53,9,86.6,7,22,normal
471,1296.75,1,-0.4,49,52,anomaly
272,92.57,21,37.2,6,44,normal
141,159.1,15,43.8,2,33,normal
58,137.63,20,58.5,6,37,normal
193,158.56,17,64.3,6,64,normal
25,128.22,9,74.0,8,35,normal
18,162.57,13,28.9,7,31,normal
266,100.09,8,62.9,7,60,normal
67,147.12,21,64.6,1,42,normal
209,170.6,15,83.2,6,66,normal
480,7.08,1,365.7,0,65,anomaly
95,134.32,17,50.8,4,52,normal
254,191.3,16,71.2,1,55,normal
267,215.3,16,76.1,4,65,normal
24,93.01,21,86.3,1,50,normal
223,177.45,18,52.2,9,33,normal
262,147.62,20,64.2,9,20,normal
427,111.4,16,54.8,1,56,normal
6,140.63,20,57.8,8,22,normal
117,148.61,18,70.6,1,59,normal
46,121.21,10,57.2,6,51,normal
17,109.49,12,78.7,7,55,normal
463,1015.5,4,5.1,43,63,anomaly
358,138.45,19,63.0,7,25,normal
4,210.92,20,59.6,2,34,normal
219,130.59,9,39.3,8,46,normal
406,174.91,16,54.4,2,27,normal
61,130.83,18,59.4,5,40,normal
111,73.25,13,77.2,4,20,normal
319,162.97,15,72.6,2,61,normal
429,192.34,11,55.2,8,27,normal
30,138.33,18,67.3,3,29,normal
438,94.8,17,59.4,4,39,normal
472,1152.92,3,6.4,27,64,anomaly
27,103.96,21,70.8,4,51,normal
8,180.7,10,51.8,5,55,normal
454,1135.57,4,4.4,32,30,anomaly
109,160.3,16,98.4,2,35,normal
38,71.61,18,77.4,1,33,normal
158,168.95,21,53.4,7,45,normal
490,9.03,4,327.6,1,37,anomaly
